0,Platform,Party,Bioguide ID,Number of Active Accounts,Max Total Followers,Total Posts,Average Post Favorites/Reactions,Average Post Retweets/Shares
538,facebook,R,Y000064,2,71077,1432,140,12
539,facebook,R,Y000065,2,28298,492,117,22
540,facebook,R,Z000017,2,55181,1074,395,67
541,twitter,R,A000055,1,29492,590,85,38
542,twitter,R,A000360,2,133668,2356,135,33
543,twitter,(R),A000367,3,444875,2368,7506,1703
544,twitter,R,A000369,2,17779,108,34,10
545,twitter,D,A000370,2,23703,3196,68,16
546,twitter,D,A000371,2,16409,375,61,21
547,twitter,R,A000372,2,24953,622,128,40
548,twitter,R,A000374,2,34320,1505,166,66
549,twitter,R,A000375,2,18916,1147,258,89
550,twitter,D,A000376,2,40631,1873,85,18
551,twitter,R,A000377,2,18923,2025,254,92
552,twitter,D,A000378,2,26326,1283,35,6
553,twitter,D,B000490,1,21175,260,9,3
554,twitter,D,B000574,1,68376,866,225,52
555,twitter,R,B000575,2,125924,2219,83,23
556,twitter,R,B000755,2,60551,2737,172,65
557,twitter,D,B000944,2,519473,2194,967,288
558,twitter,R,B001135,1,178114,287,371,119
559,twitter,D,B001230,2,172230,2380,180,61
560,twitter,R,B001236,2,102174,1795,77,23
561,twitter,R,B001243,2,236005,3246,1590,613
562,twitter,R,B001248,1,31445,1264,54,25
563,twitter,D,B001251,1,21185,912,63,25
564,twitter,R,B001257,1,32025,571,16,7
565,twitter,R,B001260,1,30360,473,125,46
566,twitter,R,B001261,2,145670,871,676,211
567,twitter,D,B001267,2,349245,4658,345,82
568,twitter,D,B001270,2,128102,1218,980,287
569,twitter,R,B001274,2,40112,1433,118,51
570,twitter,R,B001275,2,25109,752,31,9
571,twitter,D,B001277,1,649150,2747,1159,394
572,twitter,D,B001278,1,30920,2820,25,7
573,twitter,D,B001281,2,51879,4352,88,28
574,twitter,R,B001282,2,28783,1156,60,23
575,twitter,R,B001284,2,27299,1342,28,9
576,twitter,D,B001285,2,23170,1835,41,11
577,twitter,D,B001286,2,46342,2782,48,15
578,twitter,D,B001287,2,41769,1343,48,12
579,twitter,D,B001288,2,4645382,4057,2726,463
580,twitter,R,B001289,2,58494,4723,150,53
581,twitter,R,B001291,3,17870,1410,53,21
582,twitter,D,B001292,2,91990,7898,532,180
583,twitter,R,B001295,2,14992,714,48,15
584,twitter,D,B001296,2,47827,2905,293,76
585,twitter,R,B001297,2,43684,751,431,149
586,twitter,R,B001298,2,18240,5061,33,11
587,twitter,R,B001299,2,38888,3702,219,122
588,twitter,D,B001300,2,33635,2054,125,49
589,twitter,R,B001301,2,9992,412,58,21
590,twitter,R,B001302,2,195051,8598,1346,529
591,twitter,D,B001303,2,18583,846,118,30
592,twitter,D,B001304,2,26065,1574,96,28
593,twitter,R,B001305,2,22174,1366,201,71
594,twitter,R,B001306,2,11946,1137,17,5
595,twitter,R,B001307,2,5650,383,11,3
596,twitter,D,B001308,2,22736,1985,26,5
597,twitter,R,B001309,2,53354,5608,102,14
598,twitter,R,B001310,2,34938,1443,349,117
599,twitter,R,B001311,1,16512,635,319,116
600,twitter,R,C000059,2,23908,1447,69,24
601,twitter,D,C000127,2,242341,1843,82,24
602,twitter,D,C000141,2,257261,1581,148,75
603,twitter,D,C000174,2,104684,2089,57,18
604,twitter,R,C000266,2,36648,1002,88,34
605,twitter,D,C000537,2,104169,1645,515,154
606,twitter,D,C000754,2,29427,1660,71,17
607,twitter,R,C000880,1,112140,1653,89,24
608,twitter,D,C000984,2,523278,940,6112,1584
609,twitter,R,C001035,2,554650,828,546,100
610,twitter,R,C001047,2,88723,2579,122,32
611,twitter,D,C001049,1,11533,7830,12,4
612,twitter,R,C001051,2,25885,1371,23,9
613,twitter,R,C001053,1,26789,630,79,28
614,twitter,D,C001055,2,5542,855,8,2
615,twitter,R,C001056,2,282573,8019,412,140
616,twitter,D,C001059,1,22244,664,17,5
617,twitter,D,C001061,2,47913,1932,85,28
618,twitter,R,C001062,1,25694,191,76,27
619,twitter,D,C001063,2,25794,924,16,5
620,twitter,D,C001066,2,23458,3575,22,7
621,twitter,D,C001067,2,74454,1657,68,20
622,twitter,D,C001068,2,74861,3470,361,123
623,twitter,D,C001069,2,25989,1368,18,6
624,twitter,D,C001070,2,428096,2830,501,142
625,twitter,D,C001072,2,53315,918,154,46
626,twitter,R,C001075,2,72331,2728,224,68
627,twitter,D,C001078,2,59932,1277,208,87
628,twitter,D,C001080,2,74496,1210,214,80
629,twitter,D,C001084,2,144305,5235,1577,376
630,twitter,R,C001087,2,30688,1786,114,44
631,twitter,D,C001088,1,161756,3274,175,49
632,twitter,D,C001090,2,17094,624,26,9
633,twitter,D,C001091,2,278099,11311,1658,383
634,twitter,R,C001092,2,20532,284,10,2
635,twitter,R,C001093,2,425382,1975,3938,1470
636,twitter,R,C001094,2,19048,58,26,10
637,twitter,R,C001095,2,364929,1923,1503,618
638,twitter,R,C001096,2,35971,2137,129,47
639,twitter,D,C001097,2,22699,1246,30,10
640,twitter,R,C001098,2,5272289,8601,4322,1235
641,twitter,D,C001101,2,84058,2572,228,66
642,twitter,R,C001103,3,35794,968,108,48
643,twitter,R,C001108,1,15463,271,115,24
644,twitter,R,C001109,2,196584,845,2949,913
645,twitter,D,C001110,1,10058,325,41,13
646,twitter,D,C001111,2,44976,1162,31,11
647,twitter,D,C001112,2,13474,1933,25,7
648,twitter,D,C001113,2,74274,3335,47,14
649,twitter,R,C001114,2,13076,1799,31,15
650,twitter,R,C001115,2,10030,351,208,74
651,twitter,D,C001117,2,46203,4620,240,53
652,twitter,R,C001118,2,20376,803,77,32
653,twitter,D,C001119,2,38831,2159,50,11
654,twitter,R,C001120,2,1530886,1990,12687,3239
655,twitter,D,C001121,2,61312,2013,163,42
656,twitter,D,C001122,2,63076,1938,280,75
657,twitter,D,C001123,2,25402,2539,32,10
658,twitter,D,C001124,2,14553,1658,29,8
659,twitter,D,D000096,1,14764,1415,18,7
660,twitter,D,D000191,2,36400,753,99,32
661,twitter,D,D000197,2,54388,1471,160,60
662,twitter,D,D000216,2,47952,1296,43,12
663,twitter,D,D000399,2,38351,3998,37,13
664,twitter,D,D000482,2,20982,1370,18,6
665,twitter,D,D000563,2,681777,5653,393,134
666,twitter,D,D000598,1,23610,386,42,11
667,twitter,R,D000600,2,62747,2098,228,137
668,twitter,D,D000610,1,69320,2763,345,106
669,twitter,R,D000614,2,61120,1218,168,45
670,twitter,R,D000615,2,64918,2135,186,59
671,twitter,R,D000616,2,21181,1573,58,27
672,twitter,D,D000617,2,31575,1981,26,6
673,twitter,R,D000618,2,64629,1153,387,96
674,twitter,R,D000619,2,26580,1378,26,8
675,twitter,D,D000622,2,620064,3080,952,253
676,twitter,D,D000623,2,18165,2748,28,7
677,twitter,D,D000624,2,109698,2123,493,105
678,twitter,R,D000626,1,20687,1601,110,38
679,twitter,D,D000627,2,148219,4859,1147,340
680,twitter,R,D000628,2,10266,646,25,8
681,twitter,D,D000629,2,182097,1513,482,91
682,twitter,D,D000630,2,42962,4212,62,11
683,twitter,D,D000631,2,42563,2014,544,121
684,twitter,D,E000179,1,51923,1592,172,65
685,twitter,D,E000215,2,47638,396,49,12
686,twitter,R,E000285,1,102615,532,50,15
687,twitter,R,E000294,2,24114,1126,22,4
688,twitter,R,E000295,3,143283,3435,208,56
689,twitter,D,E000296,2,20319,8341,44,18
690,twitter,D,E000297,3,32516,3836,47,17
691,twitter,R,E000298,2,7520,897,51,15
692,twitter,D,E000299,2,100043,4949,328,92
693,twitter,D,F000062,1,1432611,2072,1452,430
694,twitter,R,F000449,1,23146,505,25,9
695,twitter,R,F000450,2,28637,916,168,61
696,twitter,D,F000454,2,44872,1633,39,10
697,twitter,D,F000455,2,49352,1240,58,25
698,twitter,R,F000459,2,21303,1425,83,29
699,twitter,R,F000461,2,24893,4511,18,8
700,twitter,D,F000462,2,33087,1708,61,15
701,twitter,R,F000463,2,100503,1387,164,46
702,twitter,R,F000465,2,9674,483,45,14
703,twitter,R,F000466,2,16537,1114,23,4
704,twitter,D,F000467,2,36582,1144,200,32
705,twitter,D,F000468,2,30694,1528,38,8
706,twitter,R,F000469,2,7765,704,73,30
707,twitter,R,G000061,1,47910,3,9095,1871
708,twitter,R,G000359,1,1659038,2267,9095,2255
709,twitter,R,G000377,1,24770,642,46,15
710,twitter,R,G000386,3,614186,4083,756,246
711,twitter,R,G000546,1,14783,1167,55,23
712,twitter,D,G000551,2,41973,1974,86,40
713,twitter,R,G000552,1,322936,1075,829,282
714,twitter,D,G000553,2,77871,638,1127,338
715,twitter,D,G000555,2,1532737,3132,1658,303
716,twitter,R,G000558,2,23876,210,23,7
717,twitter,D,G000559,2,34863,1784,20,7
718,twitter,R,G000560,2,26104,752,35,13
719,twitter,R,G000562,2,166058,1508,262,117
720,twitter,R,G000563,2,39291,432,51,28
721,twitter,R,G000565,1,114720,3298,1087,393
722,twitter,R,G000568,2,33388,372,77,43
723,twitter,D,G000571,2,1069080,2671,3670,844
724,twitter,D,G000574,2,130157,4510,343,78
725,twitter,R,G000576,2,10719,1429,21,10
726,twitter,R,G000577,2,18962,794,13,3
727,twitter,R,G000578,2,1274871,6703,5291,1715
728,twitter,R,G000579,2,26359,1503,117,65
729,twitter,D,G000581,2,6847,910,29,8
730,twitter,D,G000583,2,18641,3407,11,2
731,twitter,R,G000584,2,0,14,38,9
732,twitter,D,G000585,2,29878,3677,49,14
733,twitter,D,G000586,2,26276,2938,51,13
734,twitter,D,G000587,2,64431,3971,225,70
735,twitter,R,G000588,2,16598,1309,85,26
736,twitter,R,G000589,2,12250,1008,251,98
737,twitter,R,G000590,2,51625,1962,566,220
738,twitter,R,G000591,2,7491,810,58,15
739,twitter,D,G000592,2,16457,702,33,8
740,twitter,D,H000324,2,28179,1467,17,7
741,twitter,D,H000874,2,135789,4080,67,26
742,twitter,D,H001038,2,25585,1674,14,5
743,twitter,D,H001042,2,454166,702,3566,1064
744,twitter,D,H001046,2,200777,1494,193,59
745,twitter,D,H001047,1,110961,1640,705,172
746,twitter,R,H001048,2,19667,315,71,24
747,twitter,R,H001052,1,19782,276,301,176
748,twitter,R,H001053,1,30958,1007,250,102
749,twitter,R,H001056,2,24626,744,20,5
750,twitter,R,H001058,2,26023,1668,44,14
751,twitter,R,H001061,1,105625,919,97,23
752,twitter,D,H001064,2,41333,873,164,41
753,twitter,R,H001065,2,18422,181,98,52
754,twitter,D,H001066,2,23235,2518,21,7
755,twitter,R,H001067,2,23961,1246,71,22
756,twitter,D,H001068,2,47164,5575,101,23
757,twitter,R,H001071,2,68061,1794,665,246
758,twitter,R,H001072,2,22280,1612,56,33
759,twitter,R,H001073,1,70372,687,568,179
760,twitter,R,H001074,1,11797,376,23,7
761,twitter,D,H001075,2,4973516,6250,10278,2262
762,twitter,D,H001076,2,160441,2209,43,16
763,twitter,R,H001077,2,14325,447,109,41
764,twitter,R,H001079,2,31667,1607,88,28
765,twitter,D,H001080,2,162841,4887,320,71
766,twitter,D,H001081,2,73802,2183,91,19
767,twitter,R,H001082,2,6410,463,92,38
768,twitter,D,H001083,2,24371,965,101,14
769,twitter,D,H001085,2,41049,1576,71,17
770,twitter,D,H001087,2,161919,2224,854,198
771,twitter,R,H001088,2,8100,1052,17,6
772,twitter,R,H001089,2,215194,3197,1585,723
773,twitter,D,H001090,2,32717,1984,102,32
774,twitter,R,I000024,2,83321,1375,318,98
775,twitter,R,I000055,1,70253,1118,79,25
776,twitter,D,J000032,1,89610,3924,110,35
777,twitter,D,J000126,1,34478,441,52,14
778,twitter,R,J000255,1,24332,8,42,11
779,twitter,D,J000288,2,48407,1637,88,28
780,twitter,R,J000289,1,1380944,1257,27400,9545
781,twitter,R,J000292,2,45279,1084,69,26
782,twitter,R,J000293,2,142317,1023,366,127
783,twitter,D,J000294,2,265308,915,4528,1244
784,twitter,R,J000295,2,25042,1055,21,7
785,twitter,D,J000298,2,368534,8520,697,166
786,twitter,R,J000299,2,65665,1844,757,255
787,twitter,D,J000300,2,268683,1191,1383,314
788,twitter,R,J000301,2,12512,972,141,42
789,twitter,R,J000302,2,10494,929,147,51
790,twitter,D,K000009,2,24799,785,43,12
791,twitter,D,K000188,2,21171,345,14,3
792,twitter,R,K000210,2,40983,471,765,209
793,twitter,R,K000362,1,122999,510,636,245
794,twitter,D,K000367,2,1117581,4219,3682,697
795,twitter,D,K000368,2,16986,2083,30,10
796,twitter,D,K000375,2,21987,255,52,17
797,twitter,R,K000376,2,24284,543,1299,428
798,twitter,R,K000378,2,79651,654,1226,300
799,twitter,D,K000379,2,894097,3074,2539,687
800,twitter,D,K000380,2,49352,1240,266,64
801,twitter,D,K000381,2,29268,2052,22,4
802,twitter,D,K000382,2,28385,1729,49,11
803,twitter,(D),K000383,1,225488,998,287,78
804,twitter,D,K000384,1,989931,703,1834,440
805,twitter,D,K000385,2,36305,3001,27,10
806,twitter,R,K000386,1,18317,549,16,4
807,twitter,R,K000388,1,10903,883,86,25
808,twitter,D,K000389,2,286470,8713,671,202
809,twitter,D,K000391,2,71055,2302,130,36
810,twitter,R,K000392,2,13042,1025,72,22
811,twitter,R,K000393,1,134431,863,728,219
812,twitter,D,K000394,2,27758,1506,40,9
813,twitter,R,K000395,2,10654,1343,273,100
814,twitter,D,L000174,1,202976,2676,517,192
815,twitter,D,L000287,1,1165058,105,22604,4771
816,twitter,D,L000397,2,68750,566,390,142
817,twitter,D,L000480,2,38125,998,57,14
818,twitter,R,L000491,2,22069,678,29,12
819,twitter,D,L000551,2,302050,4941,508,144
820,twitter,D,L000557,2,29557,1524,12,5
821,twitter,D,L000559,2,27936,1669,37,11
822,twitter,D,L000560,2,23692,2565,21,7
823,twitter,D,L000562,2,28728,1040,20,5
824,twitter,D,L000563,2,19435,1744,35,16
825,twitter,R,L000564,1,31821,902,388,142
826,twitter,D,L000565,2,12717,348,31,8
827,twitter,R,L000566,2,40786,1144,21,6
828,twitter,R,L000569,2,14633,429,24,8
829,twitter,D,L000570,2,34614,3629,44,15
830,twitter,R,L000575,2,99874,1722,182,53
831,twitter,R,L000576,2,34310,20560,34,13
832,twitter,R,L000577,2,584688,494,1159,284
833,twitter,R,L000578,2,23821,874,232,89
834,twitter,D,L000579,2,34154,2119,46,16
835,twitter,D,L000581,2,26462,1651,33,8
836,twitter,D,L000582,2,1464357,6698,8539,2464
837,twitter,R,L000583,1,25681,708,166,90
838,twitter,R,L000585,2,17875,1121,126,42
839,twitter,D,L000586,2,11404,671,12,4
840,twitter,D,L000588,2,102366,582,330,82
841,twitter,R,L000589,2,102706,2869,566,195
842,twitter,D,L000590,2,24239,4223,30,12
843,twitter,D,L000591,2,55566,2831,117,30
844,twitter,D,L000592,2,25689,1631,250,53
845,twitter,D,L000593,2,126882,3279,673,204
846,twitter,R,L000594,2,53856,1452,256,67
847,twitter,D,M000087,2,80262,7925,197,65
848,twitter,D,M000133,2,231640,4816,412,106
849,twitter,D,M000312,2,91709,2906,584,278
850,twitter,R,M000355,2,130756,3320,165,43
851,twitter,D,M000639,2,194015,4214,125,67
852,twitter,D,M000687,1,1277,19,12,2
853,twitter,R,M000934,1,110034,1324,154,42
854,twitter,D,M001111,2,464120,5219,240,83
855,twitter,D,M001137,1,29910,1892,27,9
856,twitter,D,M001143,2,38218,3197,47,16
857,twitter,R,M001153,1,293326,3113,117,22
858,twitter,R,M001156,2,31387,945,36,14
859,twitter,R,M001157,2,41464,1850,70,36
860,twitter,R,M001158,2,27966,35,21,13
861,twitter,R,M001159,2,52447,1192,60,25
862,twitter,D,M001160,2,41022,2902,45,16
863,twitter,D,M001163,2,39807,714,35,9
864,twitter,R,M001165,1,69350,158,2965,929
865,twitter,D,M001166,2,29298,373,23,8
866,twitter,D,M001169,2,928548,4249,6014,1723
867,twitter,D,M001176,2,570021,3603,1329,496
868,twitter,R,M001177,2,23493,271,75,26
869,twitter,R,M001179,1,21561,6,113,33
870,twitter,R,M001180,1,31530,1056,7,2
871,twitter,D,M001183,1,199027,2165,174,38
872,twitter,R,M001184,1,139202,3265,847,235
873,twitter,D,M001185,2,123373,2209,552,127
874,twitter,R,M001187,3,597384,1944,15900,5848
875,twitter,D,M001188,2,54143,4200,115,26
876,twitter,R,M001190,2,25184,1213,71,26
877,twitter,R,M001194,2,13079,109,9,4
878,twitter,R,M001195,2,18334,751,242,97
879,twitter,D,M001196,2,156961,3095,217,41
880,twitter,R,M001197,2,159971,2060,697,193
881,twitter,R,M001198,1,7028,1214,55,17
882,twitter,R,M001199,2,39827,1862,92,30
883,twitter,D,M001200,2,16633,2128,34,9
884,twitter,R,M001201,1,8665,908,65,18
885,twitter,D,M001202,2,34418,2125,60,16
886,twitter,D,M001203,2,41174,1865,314,97
887,twitter,R,M001204,2,14076,821,286,99
888,twitter,R,M001205,2,10864,805,91,28
889,twitter,D,M001206,2,8957,1988,18,4
890,twitter,D,M001207,2,43187,5033,83,28
891,twitter,D,M001208,3,155453,1239,952,186
892,twitter,D,M001209,2,34095,941,64,13
893,twitter,R,M001210,2,14724,296,660,242
894,twitter,D,N000002,2,387009,1574,3161,974
895,twitter,D,N000015,2,33494,883,87,25
896,twitter,D,N000179,1,36250,915,18,7
897,twitter,R,N000181,2,1151316,1071,11213,4271
898,twitter,D,N000188,2,13011,1289,9,3
899,twitter,R,N000189,1,14747,1000,16,6
900,twitter,R,N000190,2,14355,684,210,74
901,twitter,D,N000191,2,54254,3525,167,41
902,twitter,R,O000168,2,25766,3350,25,8
903,twitter,D,O000171,2,25377,1939,15,4
904,twitter,D,O000172,2,7241799,4527,45570,8559
905,twitter,D,O000173,2,2752292,7928,9880,1847
906,twitter,D,P000034,2,41292,3285,26,11
907,twitter,D,P000096,3,61773,5005,222,71
908,twitter,D,P000197,2,5209170,5372,13579,3669
909,twitter,R,P000449,2,170109,4088,90,31
910,twitter,D,P000523,1,33644,1455,186,56
911,twitter,D,P000593,2,38364,2039,27,7
912,twitter,D,P000595,2,138852,2240,116,34
913,twitter,D,P000597,1,28432,1285,44,11
914,twitter,R,P000599,1,25155,84,31,25
915,twitter,R,P000601,2,20754,1789,50,22
916,twitter,R,P000603,2,2889986,1260,9240,2783
917,twitter,D,P000604,1,21259,982,15,5
918,twitter,R,P000605,1,28567,733,258,104
919,twitter,D,P000607,2,113315,3574,276,93
920,twitter,D,P000608,3,40957,3098,32,8
921,twitter,R,P000609,2,21779,465,23,8
922,twitter,R,P000612,2,100932,1829,234,63
923,twitter,D,P000613,2,12141,1986,18,4
924,twitter,D,P000614,2,21805,1841,39,9
925,twitter,R,P000615,2,16824,917,150,49
926,twitter,D,P000616,2,31016,1553,125,36
927,twitter,D,P000617,2,918867,6516,2249,365
928,twitter,D,P000618,2,698285,1953,3366,744
929,twitter,D,Q000023,2,50507,2356,127,30
930,twitter,D,R000122,1,97949,1022,101,39
931,twitter,R,R000307,2,83251,928,187,47
932,twitter,R,R000395,1,18665,271,26,9
933,twitter,D,R000486,1,29892,2312,18,7
934,twitter,D,R000515,1,33865,1871,448,111
935,twitter,R,R000575,2,28938,1369,14,5
936,twitter,D,R000576,2,17262,1115,11,3
937,twitter,D,R000577,2,142735,4638,241,54
938,twitter,R,R000582,1,21832,572,96,29
939,twitter,R,R000584,1,97638,670,91,25
940,twitter,R,R000585,2,22331,731,28,8
941,twitter,D,R000588,2,39732,648,39,12
942,twitter,R,R000591,2,36387,882,17,4
943,twitter,R,R000595,3,4310538,7459,1722,780
944,twitter,R,R000597,2,18007,596,48,20
945,twitter,D,R000599,2,24437,1290,39,9
946,twitter,R,R000601,1,237853,431,4196,1518
947,twitter,D,R000602,2,35991,1232,149,46
948,twitter,R,R000603,2,14874,572,52,18
949,twitter,R,R000605,2,27455,1344,43,15
950,twitter,D,R000606,2,92757,4105,256,76
951,twitter,R,R000607,1,10193,224,39,15
952,twitter,D,R000608,2,64819,3399,57,17
953,twitter,R,R000609,2,11306,703,168,67
954,twitter,R,R000610,2,22416,893,361,150
955,twitter,R,R000611,2,14303,1782,75,30
956,twitter,R,R000612,2,7353,745,31,7
957,twitter,D,R000613,2,48193,2385,136,27
958,twitter,R,R000614,2,58958,20645,107,37
959,twitter,R,R000615,2,2149979,984,3789,665
960,twitter,D,R000616,2,91723,1423,209,59
961,twitter,(D),S000033,2,21801423,8234,19081,3693
962,twitter,D,S000148,2,2392599,3227,7921,2342
963,twitter,D,S000185,2,40037,1061,53,17
964,twitter,R,S000244,1,12733,346,262,94
965,twitter,D,S000248,2,33071,579,26,9
966,twitter,R,S000320,1,91408,654,202,53
967,twitter,D,S000344,1,52350,882,105,46
968,twitter,D,S000510,2,38742,1105,110,31
969,twitter,R,S000522,1,34181,95,876,525
970,twitter,D,S000770,2,178715,1189,517,124
971,twitter,D,S001145,2,52126,3270,71,26
972,twitter,R,S001148,2,19800,620,22,6
973,twitter,D,S001150,2,2713587,1266,33903,10007
974,twitter,D,S001156,2,39630,1618,42,11
975,twitter,D,S001157,2,23471,401,7,3
976,twitter,D,S001165,1,24768,2008,19,7
977,twitter,D,S001168,2,27736,1669,66,18
978,twitter,R,S001172,1,14203,644,23,6
979,twitter,D,S001175,2,174637,2148,858,253
980,twitter,R,S001176,2,491522,2892,7193,2820
981,twitter,D,S001180,2,28735,577,36,8
982,twitter,D,S001181,2,130133,3061,62,27
983,twitter,R,S001183,1,30802,1017,41,14
984,twitter,R,S001184,2,428280,1255,1215,301
985,twitter,D,S001185,2,44671,1414,108,33
986,twitter,R,S001187,2,40052,557,21,6
987,twitter,R,S001189,2,27709,398,79,42
988,twitter,D,S001190,2,30746,1095,28,8
989,twitter,D,S001191,2,261973,3909,245,44
990,twitter,R,S001192,2,39588,934,256,91
991,twitter,D,S001193,2,996642,5321,7355,1722
992,twitter,D,S001194,2,348532,5887,4608,907
993,twitter,R,S001195,2,43828,1178,119,41
994,twitter,R,S001196,2,565562,4062,1565,467
995,twitter,R,S001197,2,428532,275,1086,204
996,twitter,R,S001198,2,50048,1052,91,32
997,twitter,R,S001199,2,13915,1141,228,69
998,twitter,D,S001200,2,20793,2906,27,11
999,twitter,D,S001201,2,17327,773,59,25
1000,twitter,D,S001203,2,124095,2274,177,36
1001,twitter,D,S001205,2,53081,4082,249,72
1002,twitter,D,S001206,2,43478,2497,82,29
1003,twitter,D,S001207,2,64367,1982,110,21
1004,twitter,D,S001208,2,89183,1053,561,118
1005,twitter,D,S001209,2,82526,3854,134,32
1006,twitter,R,S001210,2,9588,1028,43,18
1007,twitter,D,S001211,2,71473,1006,64,16
1008,twitter,R,S001212,2,11639,1128,35,12
1009,twitter,R,S001213,2,10201,2042,54,24
1010,twitter,R,S001214,2,18543,812,85,35
1011,twitter,D,S001215,2,52118,4598,120,22
1012,twitter,D,S001216,2,19854,851,58,14
1013,twitter,R,S001217,2,458702,5132,680,350
1014,twitter,R,T000165,1,9290,17,1189,266
1015,twitter,D,T000193,1,17337,1190,88,25
1016,twitter,R,T000238,1,16655,220,15,7
1017,twitter,R,T000250,1,101239,1179,269,83
1018,twitter,D,T000460,2,33341,3310,58,17
1019,twitter,R,T000461,2,154184,487,264,83
1020,twitter,R,T000463,2,44347,363,438,102
1021,twitter,D,T000464,2,131510,843,169,36
1022,twitter,R,T000467,2,22706,1248,13,4
1023,twitter,D,T000468,2,46947,2889,53,14
1024,twitter,D,T000469,2,27977,2957,9,3
1025,twitter,R,T000470,2,30056,771,36,22
1026,twitter,D,T000472,2,58534,1655,274,109
1027,twitter,D,T000474,2,37108,2399,79,26
1028,twitter,R,T000476,2,147201,2311,269,82
1029,twitter,R,T000479,2,13666,549,24,8
1030,twitter,R,T000480,2,6325,615,40,15
1031,twitter,D,T000481,2,1281549,5661,3647,770
1032,twitter,D,T000482,2,28059,4159,51,11
1033,twitter,D,T000483,2,17783,2054,68,20
1034,twitter,D,T000484,2,28305,752,56,11
1035,twitter,R,U000031,2,30834,1672,50,12
1036,twitter,D,U000039,2,181912,1804,196,67
1037,twitter,D,U000040,2,189165,1993,523,113
1038,twitter,D,V000081,2,73239,5418,84,26
1039,twitter,D,V000108,2,16031,90,40,7
1040,twitter,D,V000128,1,174819,1237,776,286
1041,twitter,D,V000130,1,24222,594,64,19
1042,twitter,D,V000131,2,33343,1442,37,14
1043,twitter,D,V000132,2,17218,545,13,5
1044,twitter,R,V000133,3,27865,608,48,12
1045,twitter,D,W000187,1,1333744,382,21407,5394
1046,twitter,R,W000437,2,111872,2060,143,58
1047,twitter,D,W000779,2,487860,2273,1097,418
1048,twitter,R,W000791,2,33564,958,34,7
1049,twitter,R,W000795,2,36512,875,27,10
1050,twitter,D,W000797,2,380664,2439,58,21
1051,twitter,R,W000798,2,20426,842,53,18
1052,twitter,D,W000800,2,38969,354,588,136
1053,twitter,D,W000802,2,366018,4206,685,253
1054,twitter,R,W000804,2,29908,1430,29,13
1055,twitter,D,W000805,2,485377,2097,1648,510
1056,twitter,R,W000806,1,26568,242,40,16
1057,twitter,D,W000808,1,74799,1925,116,41
1058,twitter,R,W000809,2,25586,2143,37,13
1059,twitter,R,W000810,1,16705,641,21,9
1060,twitter,R,W000812,2,32381,834,136,45
1061,twitter,R,W000813,2,24509,1171,57,18
1062,twitter,R,W000814,2,20045,887,79,26
1063,twitter,R,W000815,2,35071,1161,60,19
1064,twitter,R,W000816,2,18662,1455,69,25
1065,twitter,D,W000817,2,10106041,9051,7829,1518
1066,twitter,R,W000819,2,36283,2435,260,88
1067,twitter,R,W000821,3,15521,999,39,13
1068,twitter,D,W000822,2,34053,2287,121,44
1069,twitter,R,W000823,2,39932,3199,186,86
1070,twitter,R,W000824,2,11812,942,168,62
1071,twitter,D,W000825,2,49237,2936,144,38
1072,twitter,D,W000826,2,13566,1891,35,11
1073,twitter,R,W000827,2,8034,897,156,66
1074,twitter,R,Y000033,2,22251,469,15,5
1075,twitter,D,Y000062,1,47755,896,773,191
1076,twitter,R,Y000064,2,66224,2051,116,54
1077,twitter,R,Y000065,2,39257,816,275,199
1078,twitter,R,Z000017,2,294457,2406,4626,1672